date,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),site number,site name
01/01/20,305.93,,201.53,53.1,203.7,,17.6,3.98,24.78,1.99,6.0,2.99,,2.99,4.01,,80.48,0.97,175.34,,0.0,91.05,791.27,-0.21,146,Vikas Sadan
01/01/20,332.3,399.02,20.01,6.83,21.77,,,3.44,54.0,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
01/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5344,Teri Gram
01/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5345,Sector-51
02/01/20,71.69,,67.04,52.42,78.21,,8.7,2.01,47.42,2.01,6.0,3.02,,3.0,3.98,,74.94,0.88,197.32,,0.0,113.96,786.09,-0.2,146,Vikas Sadan
02/01/20,80.65,158.18,20.64,18.45,39.09,,,2.36,6.17,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
02/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5344,Teri Gram
02/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5345,Sector-51
03/01/20,25.41,,23.9,38.65,37.23,,3.36,1.17,69.87,2.01,5.98,3.0,,3.0,4.0,,75.05,0.89,180.76,,0.0,180.87,775.5,-0.17,146,Vikas Sadan
03/01/20,31.54,55.2,8.22,12.78,21.0,,,1.06,43.85,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
03/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5344,Teri Gram
03/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5345,Sector-51
04/01/20,26.19,,7.73,20.61,16.92,,8.0,0.48,61.52,2.0,5.99,3.01,,3.0,4.0,,54.61,0.89,242.97,,0.0,229.0,769.92,-0.17,146,Vikas Sadan
04/01/20,29.09,59.13,7.84,10.16,18.0,,,0.68,44.08,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
04/01/20,31.18,53.18,,,0.0,,24.88,0.54,50.74,3.42,7.02,13.58,,10.22,25.92,24.42,57.48,0.79,255.62,,0.0,461.59,,,5344,Teri Gram
04/01/20,25.37,53.06,2.12,14.19,8.19,39.31,15.1,0.5,67.06,2.92,2.28,5.25,,17.41,14.38,25.41,51.25,0.9,234.35,0.0,0.0,,,,5345,Sector-51
05/01/20,53.15,,3.63,26.53,15.18,,2.62,1.17,111.71,2.0,6.02,2.98,,2.99,3.98,,43.43,0.94,140.23,,0.0,239.94,761.0,-0.13,146,Vikas Sadan
05/01/20,61.19,139.12,7.27,9.2,16.47,,,0.68,31.0,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
05/01/20,73.49,119.23,3.62,3.0,2.91,,9.94,0.61,69.06,10.44,1.72,0.99,,13.43,0.58,30.47,51.05,0.87,127.34,,0.0,435.51,,,5344,Teri Gram
05/01/20,61.76,145.25,2.18,11.02,7.35,22.37,9.73,0.69,113.16,3.85,2.36,4.28,,12.44,11.37,31.63,46.09,0.97,139.26,0.0,0.0,,,,5345,Sector-51
06/01/20,26.17,,14.28,46.01,31.99,,4.39,0.82,91.56,2.01,6.01,2.99,,3.01,4.01,,64.3,0.64,203.64,,0.0,292.24,763.89,-0.22,146,Vikas Sadan
06/01/20,42.61,65.79,2.38,11.27,13.66,,,1.4,26.61,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
06/01/20,43.28,94.32,4.33,2.85,4.78,,4.97,0.56,66.92,12.15,1.21,0.55,,25.62,0.13,26.68,73.65,0.7,111.29,,0.0,424.53,,,5344,Teri Gram
06/01/20,47.04,118.35,0.04,20.99,3.06,12.16,7.28,0.59,95.62,3.31,1.58,3.47,,8.96,8.38,30.18,56.92,0.65,158.19,0.0,0.0,,,,5345,Sector-51
07/01/20,56.63,,6.22,8.99,7.29,,9.84,0.72,81.94,2.01,6.01,3.0,,3.0,4.02,,57.67,1.02,110.15,,0.0,204.54,750.98,-0.13,146,Vikas Sadan
07/01/20,61.18,130.73,5.42,18.91,24.32,,,1.06,58.64,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
07/01/20,84.55,172.18,10.8,3.0,10.05,,9.31,0.67,27.98,2.23,6.66,6.87,,6.66,14.71,31.92,71.2,0.96,100.63,,0.0,300.31,,,5344,Teri Gram
07/01/20,74.33,173.99,2.43,11.56,7.98,3.26,4.76,0.66,85.9,2.91,1.11,2.42,,5.93,5.68,33.38,62.62,0.75,129.96,0.0,0.0,,,,5345,Sector-51
08/01/20,34.62,,0.51,6.35,2.84,,5.82,0.37,38.78,2.0,6.0,3.01,,3.0,4.01,,85.1,0.57,218.42,,0.0,154.05,755.37,-0.22,146,Vikas Sadan
08/01/20,36.59,58.93,8.32,11.59,19.92,,,0.59,26.57,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
08/01/20,32.23,56.91,6.5,4.7,10.86,,9.92,0.64,16.0,2.65,18.3,17.35,,8.87,6.27,28.19,91.38,0.8,170.86,,0.0,221.36,,,5344,Teri Gram
08/01/20,53.22,116.53,4.54,7.7,5.76,26.23,6.79,0.65,20.9,4.36,0.16,9.02,,14.62,14.5,29.21,85.92,0.78,153.03,0.0,0.0,,,,5345,Sector-51
09/01/20,25.35,,1.89,2.47,1.22,,2.66,0.37,21.01,2.01,6.0,3.0,,3.0,3.99,,76.61,0.52,284.1,,0.0,191.32,760.53,-0.05,146,Vikas Sadan
09/01/20,16.18,35.33,3.93,9.01,12.95,,,0.37,25.84,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
09/01/20,28.23,53.03,5.72,7.76,12.72,15.16,6.22,0.74,5.02,0.57,1.86,7.13,,3.58,3.7,28.72,77.24,0.82,183.22,,0.0,459.02,,,5344,Teri Gram
09/01/20,20.7,69.12,4.91,5.41,7.23,11.81,1.85,0.38,20.55,8.56,41.53,6.54,,7.77,9.97,29.01,76.46,1.03,170.09,0.0,0.0,,,,5345,Sector-51
10/01/20,78.48,,3.92,3.8,5.13,,2.41,0.76,44.7,2.0,6.01,3.01,,3.01,3.99,,51.77,0.65,208.19,,0.0,161.45,760.3,-0.04,146,Vikas Sadan
10/01/20,47.84,137.06,12.84,16.63,25.0,,,0.94,44.78,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
10/01/20,46.3,94.69,4.84,5.83,8.55,17.67,4.89,0.95,31.28,4.49,0.74,0.7,,8.12,5.09,27.54,63.05,0.72,176.82,,0.0,426.58,,,5344,Teri Gram
10/01/20,84.21,194.57,9.43,8.7,11.04,33.94,2.44,0.8,34.94,8.31,1.1,0.26,,19.18,20.35,30.09,51.68,0.69,220.98,0.0,0.0,,,,5345,Sector-51
11/01/20,188.9,,5.16,7.99,8.3,,5.75,1.3,63.25,2.0,5.99,3.81,,3.0,3.99,,40.68,0.62,220.52,,0.0,118.93,718.46,-0.06,146,Vikas Sadan
11/01/20,179.81,339.41,9.36,30.03,39.39,,,1.64,42.8,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
